"ids","rel.ids","mzs","RTs","Int"
1367,327,450.3575360806,709.7751514524,10012673
1383,327,413.2659224095,709.7714375341,9924482
2623,327,392.2873665758,709.7352223951,4759910
4130,327,451.361010877,709.8042368334,2844747.75
4353,327,414.2693461495,709.767929432,2693705
816,328,367.2111180406,604.5884562648,17165238
2336,328,347.2213898298,605.046058565,5390894.5
3142,328,368.2145733405,604.8282601493,3886748.25
830,329,365.3158564128,556.3393591018,16859084
3020,329,366.3193311295,556.3502720424,4067915
833,330,185.0078715984,62.1036235264,16809800
834,331,428.2499600173,344.5568557013,16805958
3554,331,429.2534907866,344.5229975382,3349754.5
835,332,210.1121655659,497.826341496,16796480
844,333,365.1955282424,569.3036818731,16710376
990,333,347.1849552236,569.0877859933,14121663
1115,333,379.2111194188,570.51205517,12313877
1221,333,137.1323148289,571.1650610635,11325032
1571,333,387.1774933617,569.2215997605,8502619
3279,333,366.1988969757,569.3596271333,3699334.75
3723,333,348.188361425,569.0880294073,3175410.5
3988,333,380.214615528,570.4519776844,2936002.25
899,334,259.2450347025,703.9479405603,16650135
849,335,132.0653302051,42.4463753368,16649687
850,336,282.1809554303,438.5062561035,16646962
4595,336,283.1842565908,438.5060551961,2523684.75
857,337,145.6072702375,33.0129747391,16595481
998,337,308.2178023508,33.9333186377,14027107
1578,337,470.2707507691,34.13428738,8444345
2063,337,226.6335574838,33.0014296032,6150815.5
2162,337,235.6388657295,32.994073232,5825974.5
2254,337,316.6653272594,32.9867399761,5548273
858,338,360.7235103758,353.2403329137,16559890
1950,338,361.2251021307,353.2169935438,6537556.5
859,339,360.1913842256,371.990326291,16549142
3587,339,361.1951986585,372.0516490936,3313427.5
860,340,225.1231689225,295.0427874611,16534503
861,341,299.1606210371,333.9508884975,16529861
2227,341,299.6622934064,333.9247302101,5629905
889,342,299.1605892988,317.2722400484,16509829
2514,342,299.6622622917,317.2573184059,5319789.5
863,343,162.0758484137,64.7973716204,16489421
1907,343,114.054878248,64.708564226,6698800
871,344,199.1075204396,123.8953595843,16366457
873,345,333.2056234751,600.6379344851,16341661
1545,345,355.1873594159,600.6097862607,8651616
1630,345,265.1432156414,600.3838387423,8134160
1994,345,392.2783963503,601.0150572995,6401503
3466,345,334.2089765831,600.4796883719,3441328.75
875,346,212.102698945,87.3188909803,16300944
1001,347,178.0860042515,324.1557492988,16275624
878,348,244.0814142189,64.4104339055,16240608
2222,349,379.2108914772,598.6251315162,16187980
881,350,177.1019917646,162.9419332232,16158813
887,351,313.1795074562,598.9175060184,16045307
3361,351,314.1828646747,598.9940519787,3585162.25
890,352,243.1337231011,379.0570122855,16036746
893,353,514.8206938735,477.5084213808,15992619
1552,353,515.3222034109,477.4885926066,8626017
4155,353,515.8236211593,477.4764637194,2826467.25
898,354,261.0367459773,44.4984010969,15920470
900,355,169.0969948847,155.330905551,15898752
901,356,829.2818257279,49.1105421199,15849039
1521,356,811.2714526677,49.5634053696,8881015
2267,356,830.2853262021,49.0735029493,5521329
3852,356,812.2747550905,49.5766312735,3043991
908,357,355.2084624568,281.4392971463,15760563
2258,357,355.7100426171,281.4631752346,5541150
910,358,301.2118644481,560.854695638,15716353
4594,358,302.2153334851,560.8218376435,2523987.75
912,359,117.0545032702,75.8539919299,15673168
916,360,153.0544975458,180.5974390784,15596027
2047,360,111.0440183356,180.9149288798,6227979.5
2207,360,167.0701603331,181.0119520675,5700759
2338,360,193.0467977172,179.8775318944,5388106.5
917,361,176.0551954498,71.7313007173,15565492
921,362,349.2006282671,629.4820082721,15537975
1849,362,371.1824652773,629.3960464832,7695577.5
3658,362,350.2040092559,629.2952822731,3240887.75
922,363,229.1181734376,41.1783148243,15489420
1024,363,259.1286770664,41.115659078,13669059
926,364,291.6653850061,305.3833752587,15317360
927,365,415.7397891156,358.3987265693,15309716
2033,365,416.2408611328,358.4201914469,6271209.5
984,366,173.0286163668,129.6929211284,15289787
930,367,245.1857027214,335.1709787278,15238964
932,368,298.1143449921,143.7166635422,15226157
1020,369,126.0548891062,58.9655239194,15199113
934,370,465.1023264647,401.3394693228,15162081
3489,370,466.1056838015,401.3157685109,3416533
940,371,160.1330635086,327.5467561234,15093322
942,372,218.0810273971,357.9771982829,15066474
944,373,79.0211747164,55.3913277027,15051510
946,374,319.1608976716,41.0232602528,15042065
1100,374,337.1714551026,41.0232425417,12470272
951,375,385.3419744236,540.4819880894,14922302
3221,375,386.3454494088,540.4860498338,3772749.5
954,376,138.0891124682,37.338645163,14770129
1579,376,455.2346134593,37.3998351778,8439398
956,377,176.1027156315,43.2889008633,14706799
958,378,130.1225093444,406.7063488628,14670972
963,379,189.1230963982,52.6065790064,14516942
970,380,386.1666657405,61.9509315945,14375668
971,381,236.1503337702,102.7157865252,14374785
972,382,449.1074096198,425.2245799877,14366543
3655,382,450.1108096142,425.2839938433,3244052.75
